id_product,name,expansion_name,number,rarity,date_added,snapshot_date,product_age_days,low,trend,avg1,avg7,avg30,cm_en_nm_floor,cm_en_nm_checked_at,ct_en_nm_floor,ct_visible_units,ct_visible_sellers,ct_zero_units,hist_low,hist_days,generic_gap_pct,gap_pct,volatility_30d,popularity_score,best_validated_sourcing_price,deal_score,status,reference_band,reference_value_eur,reference_basis,screening_acquisition_eur,acquisition_basis,gross_headroom_eur,friction_budget_eur,cross_price_gap_pct,research_state
274632,Murkrow [Call for Family | Flock Attack],,,,0000-00-00 00:00:00,2026-09-12,,0.02,0.02,1.3,0.73,2.5,,,0.34,16,11,13,0.02,8,99.2,86.4,0.0,0.45,0.34,81.2,BUY_CT_EN_NM,REF_0_10,2.5,CARDMARKET_AVG30_DIAGNOSTIC,0.34,VALIDATED_EN_NM,2.16,2.16,86.4,READY_FOR_ROUTE_ECONOMICS
273723,Growlithe [Flare],,,,0000-00-00 00:00:00,2026-09-12,,0.02,3.56,2.26,4.02,2.29,,,0.19,7,6,3,0.02,8,99.12663755458514,91.70305676855895,0.0,0.45,0.19,81.5,BUY_CT_EN_NM,REF_0_10,2.29,CARDMARKET_AVG30_DIAGNOSTIC,0.19,VALIDATED_EN_NM,2.1,2.1,91.7,READY_FOR_ROUTE_ECONOMICS
273857,Pikachu [Spark],,,,0000-00-00 00:00:00,2026-09-12,,0.02,5.81,3.71,4.94,4.96,,,3.1,28,15,15,0.02,8,99.5967741935484,37.5,0.4177502070101987,1.0,3.1,51.8,WATCH_VALIDATED_EN_NM,REF_0_10,4.96,CARDMARKET_AVG30_DIAGNOSTIC,3.1,VALIDATED_EN_NM,1.86,1.86,37.5,READY_FOR_ROUTE_ECONOMICS
273739,Bulbasaur [Leech Seed],,,,0000-00-00 00:00:00,2026-09-12,,0.02,5.02,6.23,3.79,4.94,,,3.1,7,6,3,0.02,8,99.59514170040487,37.24696356275304,0.0,0.8,3.1,44.7,WATCH_VALIDATED_EN_NM,REF_0_10,4.94,CARDMARKET_AVG30_DIAGNOSTIC,3.1,VALIDATED_EN_NM,1.84,1.84,37.2,READY_FOR_ROUTE_ECONOMICS
273730,Magikarp [Tackle | Flail],,,,0000-00-00 00:00:00,2026-09-12,,0.02,3.04,2.16,2.36,3.36,,,1.6,16,9,6,0.02,8,99.40476190476191,52.38095238095237,0.0,0.45,1.6,50.6,WATCH_VALIDATED_EN_NM,REF_0_10,3.36,CARDMARKET_AVG30_DIAGNOSTIC,1.6,VALIDATED_EN_NM,1.76,1.76,52.4,READY_FOR_ROUTE_ECONOMICS
273841,Rapidash [Stomp | Agility],,,,0000-00-00 00:00:00,2026-09-12,,0.02,4.52,1.14,2.78,2.12,,,0.37,14,10,8,0.02,8,99.05660377358491,82.54716981132076,0.0,0.45,0.37,80.7,BUY_CT_EN_NM,REF_0_10,2.12,CARDMARKET_AVG30_DIAGNOSTIC,0.37,VALIDATED_EN_NM,1.75,1.75,82.5,READY_FOR_ROUTE_ECONOMICS
273900,Magmar [Smokescreen | Smog],,,,0000-00-00 00:00:00,2026-09-12,,0.02,0.02,0.83,0.69,2.31,,,0.57,35,15,30,0.02,8,99.13419913419914,75.32467532467533,0.0,0.45,0.57,75.7,BUY_CT_EN_NM,REF_0_10,2.31,CARDMARKET_AVG30_DIAGNOSTIC,0.57,VALIDATED_EN_NM,1.74,1.74,75.3,READY_FOR_ROUTE_ECONOMICS
273894,Gastly [Lick | Energy Conversion],,,,0000-00-00 00:00:00,2026-09-12,,0.02,2.09,1.37,2.05,2.58,,,1.03,13,5,12,0.02,8,99.2248062015504,60.07751937984496,0.0,0.45,1.03,63.1,WATCH_VALIDATED_EN_NM,REF_0_10,2.58,CARDMARKET_AVG30_DIAGNOSTIC,1.03,VALIDATED_EN_NM,1.55,1.55,60.1,READY_FOR_ROUTE_ECONOMICS
274042,Energy Removal,,,,0000-00-00 00:00:00,2026-09-12,,0.02,2.9,0.07,6.19,1.99,,,0.51,82,17,79,0.02,8,98.99497487437185,74.37185929648241,0.0,0.45,0.51,76.5,BUY_CT_EN_NM,REF_0_10,1.99,CARDMARKET_AVG30_DIAGNOSTIC,0.51,VALIDATED_EN_NM,1.48,1.48,74.4,READY_FOR_ROUTE_ECONOMICS
275010,Totodile [Paralyzing Gaze | Bite],,,,0000-00-00 00:00:00,2026-09-12,,0.02,8.38,5.75,6.92,7.51,,,6.14,8,8,5,0.02,8,99.73368841544608,18.242343541944077,0.0,0.45,6.14,32.0,WATCH_VALIDATED_EN_NM,REF_0_10,7.51,CARDMARKET_AVG30_DIAGNOSTIC,6.14,VALIDATED_EN_NM,1.37,1.37,18.2,READY_FOR_ROUTE_ECONOMICS
