snapshot_date,id_product,name,expansion_name,number,rarity,best_validated_sourcing_price,deal_score,status,trend,avg30,avg7,avg1,cm_en_nm_floor,ct_en_nm_floor,ct_visible_sellers,ct_visible_units,gap_pct,popularity_score,research_note
2026-09-12,273723,Growlithe [Flare],,,,0.19,81.5,BUY_CT_EN_NM,3.56,2.29,4.02,2.26,,0.19,6,7,91.70305676855895,0.45,
2026-09-12,274632,Murkrow [Call for Family | Flock Attack],,,,0.34,81.2,BUY_CT_EN_NM,0.02,2.5,0.73,1.3,,0.34,11,16,86.4,0.45,
2026-09-12,273850,Goldeen [Horn Attack],,,,0.18,80.7,BUY_CT_EN_NM,1.35,1.31,0.72,0.28,,0.18,21,140,86.25954198473283,0.45,
2026-09-12,273841,Rapidash [Stomp | Agility],,,,0.37,80.7,BUY_CT_EN_NM,4.52,2.12,2.78,1.14,,0.37,10,14,82.54716981132076,0.45,
2026-09-12,274106,Dratini [Wrap],,,,0.27,80.5,BUY_CT_EN_NM,0.39,1.6,0.85,1.11,,0.27,15,54,83.125,0.45,
2026-09-12,274134,Full Heal Energy,,,,0.11,79.6,BUY_CT_EN_NM,0.79,0.85,0.87,1.05,,0.11,9,11,87.05882352941177,0.45,
2026-09-12,274427,Ariados [Spider Web | Poison Bite],,,,0.11,79.6,BUY_CT_EN_NM,0.82,0.84,0.84,0.17,,0.11,13,23,86.90476190476191,0.45,
2026-09-12,273853,Meowth [Pay Day],,,,0.11,79.5,BUY_CT_EN_NM,1.29,0.83,1.21,1.33,,0.11,17,69,86.74698795180723,0.45,
2026-09-12,273909,Grimer [Nasty Goo | Minimize],,,,0.11,79.3,BUY_CT_EN_NM,0.88,0.79,1.01,0.46,,0.11,25,315,86.07594936708861,0.45,
2026-09-12,273861,Poké Ball,,,,0.18,79.1,BUY_CT_EN_NM,3.22,1.0,2.89,0.23,,0.18,29,220,82.0,0.45,
2026-09-12,273854,Nidoran [F] [Fury Swipes | Call for Family],,,,0.11,78.9,BUY_CT_EN_NM,0.72,0.7,0.55,0.31,,0.11,27,240,84.28571428571429,0.45,
2026-09-12,273858,Rhyhorn [Leer | Horn Attack],,,,0.11,78.9,BUY_CT_EN_NM,0.44,0.7,0.54,0.41,,0.11,20,173,84.28571428571429,0.45,
2026-09-12,273837,Nidorina [Supersonic | Double Kick],,,,0.21,78.8,BUY_CT_EN_NM,1.3,1.05,1.07,2.69,,0.21,19,64,80.0,0.45,
2026-09-12,274500,Double Gust,,,,0.19,78.7,BUY_CT_EN_NM,0.95,0.96,0.86,1.41,,0.19,12,22,80.20833333333334,0.45,
2026-09-12,274481,Totodile [Leer | Fury Swipes],,,,0.31,78.5,BUY_CT_EN_NM,1.53,1.44,1.54,0.8,,0.31,17,24,78.47222222222221,0.45,
2026-09-12,273847,Cubone [Snivel | Rage],,,,0.27,78.3,BUY_CT_EN_NM,2.36,1.25,2.25,4.67,,0.27,11,19,78.4,0.45,
2026-09-12,274557,Scyther [Fury Cutter | NDI],,,,0.2,78.2,BUY_CT_EN_NM,0.72,0.95,0.95,1.33,,0.2,12,17,78.94736842105263,0.45,
2026-09-12,273843,Seaking [Horn Attack | Waterfall],,,,0.33,78.1,BUY_CT_EN_NM,2.16,1.47,1.85,1.42,,0.33,13,21,77.55102040816327,0.45,
2026-09-12,274461,Hoppip [Hop | Sprout],,,,0.11,77.6,BUY_CT_EN_NM,0.43,0.52,0.62,1.65,,0.11,20,72,78.84615384615385,0.45,
2026-09-12,274120,Slowpoke [Afternoon Nap | Headbutt],,,,0.29,77.4,BUY_CT_EN_NM,1.68,1.24,1.71,3.24,,0.29,24,68,76.61290322580645,0.45,
2026-09-12,274502,Pokémon March,,,,0.24,76.8,BUY_CT_EN_NM,0.65,0.99,0.7,0.91,,0.24,13,46,75.75757575757575,0.45,
2026-09-12,273834,Gloom [Poisonpowder | Foul Odor],,,,0.24,76.6,BUY_CT_EN_NM,1.36,0.98,0.94,0.8,,0.24,12,25,75.51020408163265,0.45,
2026-09-12,274042,Energy Removal,,,,0.51,76.5,BUY_CT_EN_NM,2.9,1.99,6.19,0.07,,0.51,17,82,74.37185929648241,0.45,
2026-09-12,274558,Unown [D] [Darkness | Hidden Power],,,,0.21,76.3,BUY_CT_EN_NM,1.21,0.84,0.72,3.25,,0.21,9,12,75.0,0.45,
