id_product,name,expansion_name,number,language,condition,finish_requirement,purchase_date,purchase_source,item_paid_eur,allocated_shipping_eur,landed_cost_eur,shipping_allocation_method,tracking_role
665676,Dragonite VSTAR,Pokémon GO,050/078,English,NM,UNIQUE_PRODUCT,2026-09-06,Cardmarket,1.75,0.80,2.55,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
665687,Dragonite V,Pokémon GO,076/078,English,NM,UNIQUE_PRODUCT,2026-09-06,Cardmarket,9.95,0.80,10.75,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
725239,Dragonite ex,Obsidian Flames,159/197,English,NM,UNIQUE_PRODUCT,2026-09-06,Cardmarket,2.50,0.80,3.30,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
869863,Stunfisk ex,Ascended Heroes,252/217,English,NM,UNIQUE_PRODUCT,2026-09-03,Cardmarket,0.50,0.44,0.94,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
869859,Drakloak,Ascended Heroes,248/217,English,NM,UNIQUE_PRODUCT,2026-09-03,Cardmarket,6.00,0.44,6.44,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
877463,Gastly,Perfect Order,048/088,English,NM,NON_REVERSE,2026-09-03,Cardmarket,0.20,0.44,0.64,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
886490,Beedrill ex,Chaos Rising,098/086,English,NM,UNIQUE_PRODUCT,2026-09-03,Cardmarket,3.90,0.44,4.34,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
682075,Alolan Vulpix V,Silver Tempest,033/195,English,NM,UNIQUE_PRODUCT,2026-09-05,Cardmarket,1.00,0.78,1.78,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
682076,Alolan Vulpix VSTAR,Silver Tempest,034/195,English,NM,UNIQUE_PRODUCT,2026-09-05,Cardmarket,2.00,0.78,2.78,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
582085,Rillaboom VMAX,Fusion Strike,023/264,English,NM,UNIQUE_PRODUCT,2026-09-06,Cardmarket,1.29,0.39,1.68,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
873710,Mega Lucario ex,MEP Black Star Promos,MEP 033,English,NM,UNIQUE_PRODUCT,2026-09-06,Cardmarket,12.99,0.39,13.38,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
869855,Cynthia's Spiritomb,Ascended Heroes,244/217,English,NM,UNIQUE_PRODUCT,2026-09-06,Cardmarket,7.00,0.39,7.39,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
869763,Mega Dragonite ex,Ascended Heroes,152/217,English,NM,UNIQUE_PRODUCT,2026-09-06,Cardmarket,2.70,0.39,3.09,EQUAL_PER_CARD_IN_BASKET,OWNED_RESALE
