id_product,name,expansion_name,number,tracking_role
665676,Dragonite VSTAR,Pokémon TCG: Pokémon GO,050/078,RESALE_REVIEW
665687,Dragonite V,Pokémon TCG: Pokémon GO,076/078,RESALE_REVIEW
725239,Dragonite ex,Obsidian Flames,159/197,RESALE_REVIEW
869863,Stunfisk ex,Ascended Heroes,252/217,RESALE_REVIEW
869859,Drakloak,Ascended Heroes,248/217,RESALE_REVIEW
877463,Gastly,Perfect Order,048/088,RESALE_REVIEW
886490,Beedrill ex,Chaos Rising,098/086,RESALE_REVIEW
682075,Alolan Vulpix V,Silver Tempest,033/195,RESALE_REVIEW
682076,Alolan Vulpix VSTAR,Silver Tempest,034/195,RESALE_REVIEW
582085,Rillaboom VMAX,Fusion Strike,023/264,RESALE_REVIEW
873710,Mega Lucario ex,MEP Black Star Promos,MEP 033,RESALE_REVIEW
869855,Cynthia's Spiritomb,Ascended Heroes,244/217,RESALE_REVIEW
869763,Mega Dragonite ex,Ascended Heroes,152/217,RESALE_REVIEW
